price_date,open,high,low,close,adjclose,volume,ticker,price_date_ym
2012-01-03,82.12000274658203,82.98999786376953,81.7699966430664,82.0199966430664,57.81377029418945,2273600,LMT,2012-01
2012-01-04,80.94999694824219,81.44999694824219,80.37000274658203,80.91000366210938,57.03136444091797,2242700,LMT,2012-01
2012-01-05,80.66000366210938,80.68000030517578,79.05000305175781,80.06999969482422,56.439273834228516,2616100,LMT,2012-01
2012-01-06,80.41000366210938,80.41000366210938,79.6500015258789,79.9800033569336,56.37583923339844,4274300,LMT,2012-01
2012-01-09,80.3499984741211,80.3499984741211,79.76000213623047,80.04000091552734,56.41810989379883,1861500,LMT,2012-01
2012-01-10,80.62999725341797,81.19999694824219,80.36000061035156,80.62000274658203,56.82695770263672,1846700,LMT,2012-01
2012-01-11,80.48999786376953,81.12999725341797,80.48999786376953,80.77999877929688,56.93972396850586,1245900,LMT,2012-01
2012-01-12,81.12000274658203,81.7699966430664,80.76000213623047,81.69000244140625,57.5811653137207,1822300,LMT,2012-01
2012-01-13,81.16000366210938,81.52999877929688,80.80000305175781,81.5199966430664,57.461326599121094,1475600,LMT,2012-01
2012-01-17,82.05000305175781,82.0999984741211,81.3499984741211,81.63999938964844,57.54590606689453,1953700,LMT,2012-01
2012-01-18,81.58999633789062,82.27999877929688,81.33999633789062,82.27999877929688,57.99702835083008,1155900,LMT,2012-01
2012-01-19,82.25,83.70999908447266,81.8499984741211,83.70999908447266,59.00502395629883,1959400,LMT,2012-01
2012-01-20,83.1500015258789,83.44000244140625,82.54000091552734,82.77999877929688,58.349456787109375,2461700,LMT,2012-01
2012-01-23,82.83000183105469,82.86000061035156,81.9000015258789,82.54000091552734,58.180320739746094,1716700,LMT,2012-01
2012-01-24,82.55000305175781,82.80999755859375,82.12000274658203,82.23999786376953,57.96884536743164,1139000,LMT,2012-01
2012-01-25,82.04000091552734,82.2699966430664,81.25,81.7300033569336,57.60935974121094,2421500,LMT,2012-01
2012-01-26,82.47000122070312,82.94999694824219,81.29000091552734,82.47000122070312,58.13093185424805,2733700,LMT,2012-01
2012-01-27,82.0,82.55000305175781,81.66000366210938,82.0199966430664,57.81377029418945,1952500,LMT,2012-01
2012-01-30,81.31999969482422,82.12999725341797,81.29000091552734,82.01000213623047,57.80671691894531,3109900,LMT,2012-01
2012-01-31,82.19999694824219,82.4000015258789,81.69999694824219,82.31999969482422,58.02522659301758,2878600,LMT,2012-01
2012-02-01,82.54000091552734,83.72000122070312,82.26000213623047,83.5199966430664,58.871089935302734,2114100,LMT,2012-02
2012-02-02,83.55999755859375,83.69999694824219,82.9000015258789,83.16999816894531,58.6243782043457,1298800,LMT,2012-02
2012-02-03,83.41000366210938,84.7300033569336,83.25,84.58999633789062,59.62528991699219,3366800,LMT,2012-02
2012-02-06,84.37999725341797,85.4000015258789,84.33999633789062,85.25,60.09052276611328,2028300,LMT,2012-02
2012-02-07,85.0,86.63999938964844,85.0,86.62999725341797,61.06322479248047,2871300,LMT,2012-02
2012-02-08,86.56999969482422,87.70999908447266,86.13999938964844,87.63999938964844,61.775142669677734,3394000,LMT,2012-02
2012-02-09,87.66000366210938,88.06999969482422,87.4000015258789,88.01000213623047,62.03596115112305,2865000,LMT,2012-02
2012-02-10,87.12999725341797,87.72000122070312,87.0,87.51000213623047,61.68353271484375,1928200,LMT,2012-02
2012-02-13,87.63999938964844,88.25,86.9800033569336,88.2300033569336,62.1910514831543,2583400,LMT,2012-02
2012-02-14,87.7300033569336,88.55000305175781,87.66000366210938,88.44999694824219,62.346092224121094,1676700,LMT,2012-02
2012-02-15,87.68000030517578,87.91999816894531,86.7699966430664,86.93000030517578,61.27470016479492,3474000,LMT,2012-02
