,price_date,open,high,low,close,adjclose,volume,ticker
0,2012-01-03,127.76000213623047,128.3800048828125,127.43000030517578,127.5,103.2022933959961,193697900,SPY
1,2012-01-04,127.19999694824219,127.80999755859375,126.70999908447266,127.69999694824219,103.36418151855469,127186500,SPY
2,2012-01-05,127.01000213623047,128.22999572753906,126.43000030517578,128.0399932861328,103.639404296875,173895000,SPY
3,2012-01-06,128.1999969482422,128.22000122070312,127.29000091552734,127.70999908447266,103.37229919433594,148050000,SPY
4,2012-01-09,128.0,128.17999267578125,127.41000366210938,128.02000427246094,103.62322998046875,99530200,SPY
5,2012-01-10,129.38999938964844,129.64999389648438,128.9499969482422,129.1300048828125,104.52169799804688,115282000,SPY
6,2012-01-11,128.72999572753906,129.3699951171875,128.52000427246094,129.1999969482422,104.57836151123047,111540700,SPY
7,2012-01-12,129.57000732421875,129.6999969482422,128.5399932861328,129.50999450683594,104.82926177978516,118983700,SPY
8,2012-01-13,128.63999938964844,129.0500030517578,127.72000122070312,128.83999633789062,104.28697204589844,179836200,SPY
9,2012-01-17,130.0800018310547,130.32000732421875,128.89999389648438,129.33999633789062,104.69165802001953,132209200,SPY
10,2012-01-18,129.30999755859375,130.83999633789062,129.0800018310547,130.77000427246094,105.84912109375,163395200,SPY
11,2012-01-19,131.22000122070312,131.57000732421875,130.8000030517578,131.4600067138672,106.40766906738281,126328900,SPY
12,2012-01-20,131.24000549316406,131.9499969482422,130.9199981689453,131.9499969482422,106.80430603027344,138230200,SPY
13,2012-01-23,131.50999450683594,132.25,130.97999572753906,131.61000061035156,106.52909088134766,129295800,SPY
14,2012-01-24,130.8000030517578,131.5,130.60000610351562,131.4600067138672,106.40766906738281,103083300,SPY
15,2012-01-25,131.25999450683594,132.8699951171875,130.75,132.55999755859375,107.29804229736328,198613200,SPY
16,2012-01-26,133.14999389648438,133.39999389648438,131.36000061035156,131.8800048828125,106.74761199951172,184880500,SPY
17,2012-01-27,131.24000549316406,132.0500030517578,131.14999389648438,131.82000732421875,106.69906616210938,135259100,SPY
18,2012-01-30,130.50999450683594,131.44000244140625,130.05999755859375,131.3699951171875,106.33482360839844,147311800,SPY
19,2012-01-31,132.02000427246094,132.17999267578125,130.67999267578125,131.32000732421875,106.29434204101562,157212000,SPY
20,2012-02-01,132.2899932861328,133.13999938964844,132.1300048828125,132.47000122070312,107.22517395019531,166234500,SPY
21,2012-02-02,132.72999572753906,133.02000427246094,132.2100067138672,132.67999267578125,107.39517211914062,113090400,SPY
22,2012-02-03,134.0,134.6199951171875,133.77000427246094,134.5399932861328,108.90071105957031,160598500,SPY
23,2012-02-06,133.97999572753906,134.50999450683594,133.8300018310547,134.4499969482422,108.8278579711914,107694500,SPY
24,2012-02-07,134.1699981689453,135.02000427246094,133.63999938964844,134.7899932861328,109.1030502319336,135528100,SPY
25,2012-02-08,134.86000061035156,135.22000122070312,134.30999755859375,135.19000244140625,109.42680358886719,139361400,SPY
26,2012-02-09,135.41000366210938,135.58999633789062,134.55999755859375,135.36000061035156,109.56442260742188,148602900,SPY
27,2012-02-10,134.16000366210938,134.47000122070312,133.83999633789062,134.36000061035156,108.75501251220703,167907500,SPY
28,2012-02-13,135.32000732421875,135.52000427246094,134.74000549316406,135.36000061035156,109.56442260742188,115841900,SPY
29,2012-02-14,135.0,135.27000427246094,134.25,135.19000244140625,109.42680358886719,165329500,SPY
30,2012-02-15,135.6300048828125,135.8300018310547,134.2899932861328,134.55999755859375,108.91685485839844,195195100,SPY
31,2012-02-16,134.57000732421875,136.1699981689453,134.3300018310547,136.0500030517578,110.12296295166016,186567800,SPY
32,2012-02-17,136.52000427246094,136.6300048828125,135.9600067138672,136.41000366210938,110.41435241699219,129869400,SPY
33,2012-02-21,136.72999572753906,137.0500030517578,136.0500030517578,136.47000122070312,110.46292114257812,134042300,SPY
